name,number_votes,share_votes,district,affiliation
Forgóné Kelemen Judit Andrea,7759,16.48,Veszprém,JOBBIK
Dr. Navracsics Tibor,22194,47.15,Veszprém,FIDESZ-KDNP
Piróth István,262,0.56,Veszprém,A HAZA NEM ELADÓ
Sinka Vivien Karolin,178,0.38,Veszprém,ÖP
Németh Sándor,33,0.07,Győr,ÚMP
Remetei Tamás,235,0.53,Győr,JESZ
Szalay András,40,0.09,Győr,ÚDP
Tempfliné Szabó Viktória,158,0.36,Győr,ÖP
Simon Róbert Balázs,21560,48.76,Győr,FIDESZ-KDNP
Fodor Roland Alexander,6364,14.39,Győr,JOBBIK
Molnár Zsolt,130,0.29,Győr,KTI
Madarász Zsuzsanna,2468,5.58,Győr,LMP
Milkovics Attila,191,0.43,Győr,MUNKÁSPÁRT
Fábián György Zoltán,12893,29.16,Győr,MSZP-EGYÜTT-DK-PM-MLP
Sali Csaba,144,0.33,Győr,SZOCIÁLDEMOKRATÁK
Molnár János,110,0.22,Hatvan,SZOCIÁLDEMOKRATÁK
Ács Péter,15,0.03,Hatvan,MDU
Tóth Norbert,1114,2.26,Hatvan,LMP
Dr. Kapolyi László,55,0.11,Hatvan,MSZDP
Szőcs István,54,0.11,Hatvan,KMSZ
Szabó Zsolt,20304,41.18,Hatvan,FIDESZ-KDNP
Ivanics Róbert,622,1.26,Hatvan,Független
Tóth-Kern Enikő,31,0.06,Hatvan,"REND, SZABADSÁG"
Sneider Tamás,15268,30.97,Hatvan,JOBBIK
Kiss Gábor,94,0.19,Hatvan,ÖP
Oláh Károly,67,0.14,Hatvan,FKGP
Fehér Andrea,166,0.34,Hatvan,SEM
László Zsolt,13,0.03,Hatvan,HATMAP
Mikó János,21,0.04,Hatvan,NÉP
Burai Ferenc,160,0.32,Hatvan,MCP
Korózs Lajos,10797,21.90,Hatvan,MSZP-EGYÜTT-DK-PM-MLP
Ránics Erika,163,0.33,Hatvan,SMS
Botos Ferenc,251,0.51,Hatvan,KTI
Zsigó Róbert Vilmos,19286,49.66,Baja,FIDESZ-KDNP
Bálint Hajnalka,58,0.15,Baja,MAJP
Mészáros István,6792,17.49,Baja,JOBBIK
Teket Melinda,9954,25.63,Baja,MSZP-EGYÜTT-DK-PM-MLP
Krizsák Péter,15,0.04,Baja,MCF
Radics Istvánné,74,0.19,Baja,SZOCIÁLDEMOKRATÁK
Ikotity István,1835,4.72,Baja,LMP
Pekli Edit,117,0.30,Baja,SMS
Papp László,33,0.08,Baja,MKSZU
Czöndör Gyula,108,0.28,Baja,KTI
Gyulánszki István,41,0.11,Baja,MGP
Atyánszky György Ernő,125,0.32,Baja,JESZ
Kalapos Mária,245,0.63,Baja,MUNKÁSPÁRT
Kolozsvári Julianna,129,0.33,Baja,TEMPO
Bogdán József,26,0.07,Baja,MACSEP
Balázs Beáta,125,0.32,Kiskunhalas,EGYÜTT 2014
Farkas Gergely,9659,24.47,Kiskunhalas,JOBBIK
Logó Ilona Rita,24,0.06,Kiskunhalas,MACSEP
Bányai Gábor Elemér,20228,51.25,Kiskunhalas,FIDESZ-KDNP
Török Zsolt Bernát,7297,18.49,Kiskunhalas,MSZP-EGYÜTT-DK-PM-MLP
Karancsi Tibor József,90,0.23,Kiskunhalas,SZOCIÁLDEMOKRATÁK
Sárosi Albert János,26,0.07,Kiskunhalas,ÚDP
Sinka Antal,56,0.14,Kiskunhalas,MGP
Gyovai István,741,1.88,Kiskunhalas,KTI
Kállai István Zsolt,88,0.22,Kiskunhalas,SEM
Lapos Péter,913,2.31,Kiskunhalas,LMP
Tajti Katalin,47,0.12,Kiskunhalas,TEMPO
Uray Erzsébet,172,0.44,Kiskunhalas,Független
Dr. Szalóczi Géza György,13781,25.37,Eger,MSZP-EGYÜTT-DK-PM-MLP
Mirkóczki Ádám,15410,28.37,Eger,JOBBIK
Balog István,121,0.22,Eger,ÖP
Szamkó Rozália,19,0.03,Eger,EU. ROM
Dr. Nyitrai Zsolt Péter,21151,38.94,Eger,FIDESZ-KDNP
Dr. Csarnó Ákos,2528,4.65,Eger,LMP
Faludi Sándor Gábor,269,0.50,Eger,A HAZA NEM ELADÓ
Kecskés Gábor,276,0.51,Eger,ZÖLDEK
Bodnár Pál,228,0.42,Eger,SZOCIÁLDEMOKRATÁK
Juhász Szabolcs,279,0.51,Eger,Független
Barkóczi Géza,249,0.46,Eger,MCP
György Roland,92,0.17,Gyöngyös,FKGP
Vona Gábor,19159,35.78,Gyöngyös,JOBBIK
Rozinka Gyöngyi,27,0.05,Gyöngyös,HATMAP
Schopf Rita,30,0.06,Gyöngyös,MSZDP
Dr. Lukács Zoltán,1360,2.54,Gyöngyös,LMP
Szegváry Krisztián,91,0.17,Gyöngyös,SEM
Snep Andrea,15,0.03,Gyöngyös,"REND, SZABADSÁG"
Suha Jenő,75,0.14,Gyöngyös,EU. ROM
Huszárné Luda Ágnes,22,0.04,Gyöngyös,MDU
Tenke János,193,0.36,Gyöngyös,A HAZA NEM ELADÓ
Dr. Sós Tamás,11874,22.17,Gyöngyös,MSZP-EGYÜTT-DK-PM-MLP
Ivády Gábor,283,0.53,Gyöngyös,KTI
Rézműves Róbert,90,0.17,Gyöngyös,MCP
Szabó Sándor Miklós,80,0.15,Gyöngyös,SZOCIÁLDEMOKRATÁK
Egyed Mónika,57,0.11,Gyöngyös,ÖP
Horváth László Dezső,19798,36.97,Gyöngyös,FIDESZ-KDNP
Horváth Mihály,192,0.36,Gyöngyös,ZÖLDEK
Subicz István,115,0.21,Gyöngyös,SMS
Kohajda László István,333,0.77,Kecskemét,ÉLŐLÁNC
Ladányi György,80,0.19,Kecskemét,TEMPO
Oberna Zoltán,7548,17.49,Kecskemét,JOBBIK
Varga Kinga Mária,78,0.18,Kecskemét,MSZDP
Lédeczi László,219,0.51,Kecskemét,SEM
Mányi István,14,0.03,Kecskemét,MACSEP
Orbán Gyula,93,0.22,Kecskemét,MCP
Dr. Vancsura István,185,0.43,Kecskemét,JESZ
Laskovics Diána,9446,21.88,Kecskemét,MSZP-EGYÜTT-DK-PM-MLP
Dr. Zombor Gábor Zoltán,22303,51.67,Kecskemét,FIDESZ-KDNP
Verebély András Pál,83,0.19,Kecskemét,MGP
Papp Jánosné,138,0.32,Kecskemét,KTI
Falusi Norbert,2295,5.32,Kecskemét,LMP
Lovas Ildikó Éva,347,0.80,Kecskemét,A HAZA NEM ELADÓ
Kiss Kálmán Tibor,1387,3.42,Kiskunfélegyháza,LMP
Horváth Ferenc Antalné,181,0.45,Kiskunfélegyháza,KTI
Rostás Sarolta,88,0.22,Kiskunfélegyháza,EGYÜTT 2014
Ráska Ferenc János,23,0.06,Kiskunfélegyháza,HATMAP
Dr. Garai István Levente,7452,18.37,Kiskunfélegyháza,MSZP-EGYÜTT-DK-PM-MLP
Vályi Bettina,34,0.08,Kiskunfélegyháza,MDU
Dr. Réczi László,493,1.22,Kiskunfélegyháza,SMS
Bálint Gyula,20,0.05,Kiskunfélegyháza,"REND, SZABADSÁG"
Kolompár Attila,10,0.02,Kiskunfélegyháza,MACSEP
Szabó Bettina,60,0.15,Kiskunfélegyháza,ÚMP
Kollár László,8666,21.37,Kiskunfélegyháza,JOBBIK
Dr. Patai Antal,175,0.43,Kiskunfélegyháza,SZOCIÁLDEMOKRATÁK
Somodi Milán,203,0.50,Kiskunfélegyháza,JESZ
Lezsák Sándor István,21634,53.34,Kiskunfélegyháza,FIDESZ-KDNP
Kutalik Tamás,133,0.33,Kiskunfélegyháza,ÖP
Sörös József,220,0.55,Kecskemét,SMS
Dr. Salacz László,20558,51.34,Kecskemét,FIDESZ-KDNP
Szarka Szilvia,346,0.86,Kecskemét,ZÖLDEK
Gyöngyösi Márton Balázs,8204,20.49,Kecskemét,JOBBIK
Orbán Gábor,103,0.26,Kecskemét,SZOCIÁLDEMOKRATÁK
Orbán Gyula,32,0.08,Kecskemét,MACSEP
Ruszkovics János,248,0.62,Kecskemét,KTI
Király József,7899,19.73,Kecskemét,MSZP-EGYÜTT-DK-PM-MLP
Borbély József,84,0.21,Kecskemét,TEMPO
Kriskó Dávid Gábor,2134,5.33,Kecskemét,LMP
Pintér Kálmán,99,0.25,Kecskemét,MCP
Palotai Gábor,116,0.29,Kecskemét,ÖP
Suhajda Krisztián,9397,22.93,Kalocsa,JOBBIK
Sztojka Mariann,48,0.12,Kalocsa,MCF
Harkai Péterné,61,0.15,Kalocsa,TEMPO
Kindl László,23,0.06,Kalocsa,ÚDP
Font Sándor,20833,50.84,Kalocsa,FIDESZ-KDNP
Kiss János,36,0.09,Kalocsa,MDU
Üsztöke László,159,0.39,Kalocsa,Független
Kissné Simonics Gabriella,23,0.06,Kalocsa,HATMAP
Tóth József,157,0.38,Kalocsa,KTI
Müller János Sándor,186,0.45,Kalocsa,EGYÜTT 2014
Makádi Balázs,1457,3.56,Kalocsa,LMP
Szalai Ferencné,30,0.07,Kalocsa,"REND, SZABADSÁG"
Oláh Zsoltné,48,0.12,Kalocsa,MCP
Niedermüller Péter,8321,20.31,Kalocsa,MSZP-EGYÜTT-DK-PM-MLP
Bakó Tamás,28,0.07,Kalocsa,ÚMP
Korsós Ádám János,25,0.06,Kalocsa,MACSEP
Kollinger Attila,144,0.35,Kalocsa,SZOCIÁLDEMOKRATÁK
Mata Szilárd,84,0.19,Sátoraljaújhely,A VÁLASZ
Pasztorniczky István,11561,26.40,Sátoraljaújhely,JOBBIK
Dr. Tóth István,1045,2.39,Sátoraljaújhely,LMP
Musa Károly Rudolf,15,0.03,Sátoraljaújhely,ÚDP
Lakatos Tibor,490,1.12,Sátoraljaújhely,MCP
Vécsi István,9566,21.85,Sátoraljaújhely,MSZP-EGYÜTT-DK-PM-MLP
Horváth András,260,0.59,Sátoraljaújhely,SZOCIÁLDEMOKRATÁK
Mizsik Diána,161,0.37,Sátoraljaújhely,FKGP
Dr. Hörcsik Richárd,19932,45.52,Sátoraljaújhely,FIDESZ-KDNP
Mata Szabolcsné,88,0.20,Sátoraljaújhely,EGYÜTT 2014
Orsovai János,153,0.35,Sátoraljaújhely,A HAZA NEM ELADÓ
Gervai Valter,66,0.15,Sátoraljaújhely,ÖP
Laczkó Gyula,23,0.05,Sátoraljaújhely,EU. ROM
Horváth Krisztián,170,0.39,Sátoraljaújhely,JESZ
Mata Szabolcs,27,0.06,Sátoraljaújhely,ÚMP
Pázmándi János,147,0.34,Sátoraljaújhely,SMS
Gulyás Pál,859,1.91,Kazincbarcika,LMP
Kovács Imre József,92,0.20,Kazincbarcika,SZOCIÁLDEMOKRATÁK
Kalanovicsné Fábus Éva Zsuzsanna,227,0.50,Kazincbarcika,SMS
Kardos Mihály,361,0.80,Kazincbarcika,MUNKÁSPÁRT
Tiszaváry Fanni,86,0.19,Kazincbarcika,SEM
Orgona Ágnes,49,0.11,Kazincbarcika,SZEM-NŐPÁRT
Klimon István,12563,27.95,Kazincbarcika,MSZP-EGYÜTT-DK-PM-MLP
Miklós Árpád,12500,27.81,Kazincbarcika,JOBBIK
Bódis Zsolt Ferenc,61,0.14,Kazincbarcika,ÖP
Lakatos Krisztián,538,1.20,Kazincbarcika,MCP
Hafenscher Balázs,8,0.02,Kazincbarcika,ÚMP
Soltész Imre István,91,0.20,Kazincbarcika,KISGAZDAPÁRT-MIÉP
Zsiros László,240,0.53,Kazincbarcika,JESZ
Demeter Zoltán,16696,37.14,Kazincbarcika,FIDESZ-KDNP
Ormós László,88,0.20,Kazincbarcika,MDU
Tóth Istvánné,43,0.10,Kazincbarcika,FKGP
Bezsilla Zoltán,66,0.15,Kazincbarcika,TBP
Mata Szabolcs,89,0.20,Kazincbarcika,EGYÜTT 2014
Frank Tibor,160,0.36,Kazincbarcika,A HAZA NEM ELADÓ
Balogh Izabella Margit,13,0.03,Kazincbarcika,ÚDP
Guba Csabáné,122,0.27,Kazincbarcika,KTI
Fülöp József Istvánné,329,0.70,Miskolc,MUNKÁSPÁRT
Mile Lajos,1555,3.30,Miskolc,LMP
Vékony Mária,120,0.25,Miskolc,SZOCIÁLDEMOKRATÁK
Tóth Árpád,165,0.35,Miskolc,SEM
Tamás János,83,0.18,Miskolc,MDU
Botos Ferenc,334,0.71,Miskolc,MCP
Dr. Varga László,14798,31.39,Miskolc,MSZP-EGYÜTT-DK-PM-MLP
Rivnyák Tibor,58,0.12,Miskolc,FKGP
Szakos Zoltán,120,0.25,Miskolc,ÖP
Mach Kornél,3,0.01,Miskolc,MRPP
Iváncsó Zsolt,255,0.54,Miskolc,A HAZA NEM ELADÓ
Pakusza Zoltán,14425,30.60,Miskolc,JOBBIK
Sebestyén László,14560,30.89,Miskolc,FIDESZ-KDNP
Szabóné Füle Márta,335,0.71,Miskolc,ZÖLDEK
Kisgergely András,248,0.61,Ózd,Nemzeti Forr.Párt
Andrássy Dénes Károly,133,0.32,Ózd,A HAZA NEM ELADÓ
Rézműves Anikó,125,0.31,Ózd,SMS
Harkály Csaba,350,0.85,Ózd,MCP
Egyed Zsolt,12148,29.64,Ózd,JOBBIK
Forray Zsolt,80,0.20,Ózd,SEM
Császár Antal László,124,0.30,Ózd,Független
Greskovits István,230,0.56,Ózd,FKGP
Orliczki Sándor József,103,0.25,Ózd,SZDP
Nyakó István,10146,24.76,Ózd,MSZP-EGYÜTT-DK-PM-MLP
Szilágyi Imre,612,1.49,Ózd,LMP
Riz Gábor,15473,37.76,Ózd,FIDESZ-KDNP
Tóth Melinda Anna,133,0.32,Ózd,JESZ
Vágó Lajos Béla,46,0.11,Ózd,KTI
Lázi Csaba,18,0.04,Ózd,ÚDP
Gömöri András,13,0.03,Ózd,ÚMP
Siroki Zsolt,183,0.45,Ózd,EGYÜTT 2014
Kónya Béla,474,1.16,Ózd,MUNKÁSPÁRT
Gál József,341,0.83,Ózd,SZOCIÁLDEMOKRATÁK
Rádai Alex,178,0.43,Békés,SZOCIÁLDEMOKRATÁK
Rejtő József,7925,19.00,Békés,MSZP-EGYÜTT-DK-PM-MLP
Ásós Tibor,88,0.21,Békés,MACSEP
Varga Sándor,99,0.24,Békés,MSZDP
Dankó Béla,19942,47.80,Békés,FIDESZ-KDNP
Mészáros Gina Ildikó,69,0.17,Békés,ÚMP
Urbancsok Istvánné,182,0.44,Békés,KTI
Rigler Miklós,1576,3.78,Békés,LMP
Kun Éva,59,0.14,Békés,NEMZETI ÉRDEKÉRT
Borzáné Uram Ildikó,534,1.28,Békés,A HAZA NEM ELADÓ
Ungvári Imre,19,0.05,Békés,ÚDP
Jakab József,90,0.22,Békés,ÖP
Samu Tamás Gergő,10958,26.27,Békés,JOBBIK
Papp Anikó,654,1.59,Gyula,Független
Bod Tamás,9378,22.74,Gyula,MSZP-EGYÜTT-DK-PM-MLP
Sajtos László,46,0.11,Gyula,MCP
Szivos Lajos Zoltánné,24,0.06,Gyula,MKSZU
Beregszászi Lili,118,0.29,Gyula,SEM
Dr. Kovács József Dezső,19315,46.83,Gyula,FIDESZ-KDNP
Kempf-Bereczki Mária,10,0.02,Gyula,ÚDP
Földi Mihály István,1101,2.67,Gyula,LMP
Kásler Árpád,2357,5.71,Gyula,A HAZA NEM ELADÓ
Varga Géza István,7579,18.38,Gyula,JOBBIK
Fazekas Gáborné,24,0.06,Gyula,ÚMP
Gémes László,23,0.06,Gyula,MACSEP
Dinya Gábor Balázs,13,0.03,Gyula,NEMZETI ÉRDEKÉRT
Bagó Anita,43,0.10,Gyula,ÖP
Leelőssy Éva,135,0.33,Gyula,SMS
Szőke János,423,1.03,Gyula,MUNKÁSPÁRT
Nagy Gábor,1487,3.25,Orosháza,LMP
Simonka György,20789,45.39,Orosháza,FIDESZ-KDNP
Jámbor Nándor,10403,22.71,Orosháza,JOBBIK
Faragó Attila István,51,0.11,Orosháza,SZOCIÁLDEMOKRATÁK
Balogh Csaba,108,0.24,Orosháza,MCP
Gombosné Bárdos Gabriella Éva,28,0.06,Orosháza,HATMAP
Mák Beáta,127,0.28,Orosháza,SZDP
Nemes Miklós,25,0.05,Orosháza,MDU
Horváth Marianna,180,0.39,Orosháza,Független
Hegedűsné Bányai Ildikó,61,0.13,Orosháza,ÖP
Krisán László,22,0.05,Orosháza,ÚMP
Mezei János,28,0.06,Orosháza,MACSEP
Gál Ferenc,657,1.43,Orosháza,MUNKÁSPÁRT
Balogh Mónika,10,0.02,Orosháza,MCF
Varga Zoltán,10738,23.44,Orosháza,MSZP-EGYÜTT-DK-PM-MLP
Dr. Kincses István András,341,0.74,Orosháza,SMS
Révész Géza,31,0.07,Orosháza,"REND, SZABADSÁG"
Szabó Attila,93,0.20,Orosháza,EGYÜTT 2014
Berki János,598,1.31,Orosháza,A HAZA NEM ELADÓ
Kempf András,28,0.06,Orosháza,ÚDP
Janó Elemér,182,0.37,Miskolc,EGYÜTT 2014
Lovrity István,298,0.60,Miskolc,ZÖLDEK
Badány Lajos,15050,30.53,Miskolc,JOBBIK
Csetfalvi Attila,18,0.04,Miskolc,TBP
Simon László,117,0.24,Miskolc,ÖP
Király Zsolt Ferenc,12,0.02,Miskolc,REND PÁRT
Bencze Csaba,208,0.42,Miskolc,SEM
Orosz Imre Tibor,338,0.69,Miskolc,MUNKÁSPÁRT
Csöbör Katalin,16602,33.68,Miskolc,FIDESZ-KDNP
Bárcziné Galambos Enikő,68,0.14,Miskolc,FKGP
Gáspár Ferenc,15,0.03,Miskolc,ÚDP
Fintorné Barkó Anita,106,0.22,Miskolc,SZOCIÁLDEMOKRATÁK
Horváth Dániel,4,0.01,Miskolc,MRPP
Gulyás Gyula,285,0.58,Miskolc,MCP
Nagy-Korsa Judit Anna,14072,28.55,Miskolc,MSZP-EGYÜTT-DK-PM-MLP
Emődi Zoltán,1624,3.29,Miskolc,LMP
Kiss Gáborné,259,0.53,Miskolc,A HAZA NEM ELADÓ
Gáspár Ferenc,33,0.07,Miskolc,ÚMP
Mátrai Csaba,699,1.58,Székesfehérvár,SMS
Herczog Edit,8415,19.04,Székesfehérvár,MSZP-EGYÜTT-DK-PM-MLP
Szebek Mihály István,159,0.36,Székesfehérvár,KTI
Huszti Józsefné,174,0.39,Székesfehérvár,EGYÜTT 2014
Pap Kornélia,189,0.43,Székesfehérvár,JESZ
Abházi Ernő,73,0.17,Székesfehérvár,MCF
Fazakas Attila Levente,9668,21.88,Székesfehérvár,JOBBIK
Kovács Lili,499,1.13,Székesfehérvár,ZÖLDEK
Kalmár András,1944,4.40,Székesfehérvár,LMP
Kovács Tamás,25,0.06,Székesfehérvár,MCP
Törő Gábor,22177,50.18,Székesfehérvár,FIDESZ-KDNP
Vékony János,170,0.38,Székesfehérvár,SZOCIÁLDEMOKRATÁK
Fischer Attila,147,0.33,Békéscsaba,ÖP
Bánhegyi József,433,0.97,Békéscsaba,MUNKÁSPÁRT
Takács Péter,2678,5.99,Békéscsaba,LMP
Gazsó Mátyás,279,0.62,Békéscsaba,SEM
Bencsik Pál,121,0.27,Békéscsaba,JESZ
Kürti Magdolna,21,0.05,Békéscsaba,MACSEP
Szegedi Éva,51,0.11,Békéscsaba,ÚDP
Kovács Sabrina,86,0.19,Békéscsaba,SZOCIÁLDEMOKRATÁK
Varga Györgyné,275,0.62,Békéscsaba,SMS
Farkas Gábor,709,1.59,Békéscsaba,A HAZA NEM ELADÓ
Miklós Attila Zsolt,12161,27.22,Békéscsaba,MSZP-EGYÜTT-DK-PM-MLP
Nagy Zsolt,33,0.07,Békéscsaba,ÚMP
Dr. Dévényi-Dabrowsky Géza Dániel,9273,20.76,Békéscsaba,JOBBIK
Vantara Gyula,18364,41.10,Békéscsaba,FIDESZ-KDNP
Szaszák Péter,45,0.10,Békéscsaba,NEMZETI ÉRDEKÉRT
Varga György,2677,5.98,Bicske,LMP
Gáspár Kornél Dániel,8021,17.92,Bicske,JOBBIK
Dr. Molnos Levente Lóránt,345,0.77,Bicske,FKGP
Horváth András Tibor,9534,21.30,Bicske,MSZP-EGYÜTT-DK-PM-MLP
Tessely Zoltán Károly,22571,50.43,Bicske,FIDESZ-KDNP
Dr. Bednár András Tibor,106,0.24,Bicske,SZOCIÁLDEMOKRATÁK
Bódi Tibor,233,0.52,Bicske,SMS
Birtalan József,159,0.36,Bicske,KTI
Veres Péter,337,0.75,Bicske,MUNKÁSPÁRT
Papp László,232,0.52,Bicske,SEM
Huszti Lajos,204,0.46,Bicske,EGYÜTT 2014
Pilz István Gábor,15,0.03,Bicske,ÚMP
Paksi Imre,150,0.34,Bicske,MGP
Borsos Sándor Ákos,136,0.30,Bicske,JESZ
Bogdán János,39,0.09,Bicske,MCF
Dudás Zoltán Sándor,11610,24.27,Szentes,JOBBIK
Köröndi Máté,667,1.39,Szentes,Független
Kordás Adrienn,59,0.12,Szentes,MCP
Kasler Sándor,542,1.13,Szentes,A HAZA NEM ELADÓ
Rácz József,318,0.66,Szentes,ZÖLDEK
Gurdon Lajos,1794,3.75,Szentes,LMP
Farkas Sándor,21911,45.80,Szentes,FIDESZ-KDNP
Majdanics János,149,0.31,Szentes,FKGP
Dr. Komáromi Zoltán Pál,10201,21.32,Szentes,MSZP-EGYÜTT-DK-PM-MLP
Csenki Mihály,594,1.24,Szentes,SMS
Németh Erik,49,0.11,Székesfehérvár,ÚDP
Óber László,253,0.57,Székesfehérvár,KTI
Dr. Mező Balázs Béla,7450,16.81,Székesfehérvár,JOBBIK
Bialkó László Gergő,2725,6.15,Székesfehérvár,LMP
Dr. Márton Roland,13407,30.25,Székesfehérvár,MSZP-EGYÜTT-DK-PM-MLP
Dr. Németh Zsanett,37,0.08,Székesfehérvár,MNP
Juhász Gyuláné,231,0.52,Székesfehérvár,JESZ
Lakatos Gabriella,75,0.17,Székesfehérvár,MCP
Vargha Tamás János,19602,44.22,Székesfehérvár,FIDESZ-KDNP
Pasa Gabriella,211,0.48,Székesfehérvár,SZOCIÁLDEMOKRATÁK
Bálint Zoltán László,285,0.64,Székesfehérvár,A HAZA NEM ELADÓ
Némethné Bátyai Edina Beáta,16952,32.08,Szeged,MSZP-EGYÜTT-DK-PM-MLP
Asztalos Károlyné,435,0.82,Szeged,A HAZA NEM ELADÓ
Tóth Péter,8160,15.44,Szeged,JOBBIK
Tari János,252,0.48,Szeged,EP
Ördög István,130,0.25,Szeged,MDU
Tatár Gábor,3475,6.58,Szeged,LMP
Farkasné Kismárton Éva,269,0.51,Szeged,MGP
B Nagy László,23171,43.85,Szeged,FIDESZ-KDNP
Dr. Bohács Zsolt József,17346,33.98,Szeged,FIDESZ-KDNP
Czeróczki Zoltán,86,0.17,Szeged,MGP
Kozák Dávid,61,0.12,Szeged,MCP
Rácz Tibor,7463,14.62,Szeged,JOBBIK
Frank-Csipak Csaba István,15,0.03,Szeged,MCF
Király Renáta,358,0.70,Szeged,EGYÜTT 2014
Faragó Bence,43,0.08,Szeged,ÚDP
Tóth István József,205,0.40,Szeged,FKGP
Dr. Gyovai Ferenc,55,0.11,Szeged,NEMZETI ÉRDEKÉRT
Szabó Sándor,20131,39.43,Szeged,MSZP-EGYÜTT-DK-PM-MLP
Nagy István,34,0.07,Szeged,MDU
Mészáros Zoltán Miklósné,129,0.25,Szeged,SZOCIÁLDEMOKRATÁK
Török Tamás,409,0.80,Szeged,ZÖLDEK
Tóth Tibor,390,0.76,Szeged,A HAZA NEM ELADÓ
Németh István,141,0.28,Szeged,KTI
Tanács Eszter,3956,7.75,Szeged,LMP
Dudás Róbert,227,0.44,Szeged,4K!
Tokaji Attila,200,0.40,Tatabánya,JESZ
Bihari Ervin,22,0.04,Tatabánya,MCF
Tóth-Fekete Tamás Károly,123,0.25,Tatabánya,SZDP
Barczi Zsófia,59,0.12,Tatabánya,MSZDP
Gutai Zsolt,2473,4.95,Tatabánya,LMP
Pintér Réka,204,0.41,Tatabánya,SEM
Lévai István,21,0.04,Tatabánya,MCP
Majer Zsuzsanna Éva,155,0.31,Tatabánya,4K!
Bencsik János,21434,42.89,Tatabánya,FIDESZ-KDNP
Juhász Zoltán Ákos,141,0.28,Tatabánya,KTI
Mayer Péter,252,0.50,Tatabánya,ZÖLDEK
Pachl Tamás,563,1.13,Tatabánya,A HAZA NEM ELADÓ
Petrik Tímea,362,0.72,Tatabánya,MUNKÁSPÁRT
Vágó Sebestyén,7868,15.74,Tatabánya,JOBBIK
Béres István,102,0.20,Tatabánya,ÖP
Farkas Andrea,43,0.09,Tatabánya,KMSZ
Lukács Zoltán Géza,15954,31.92,Tatabánya,MSZP-EGYÜTT-DK-PM-MLP
Weiser Írisz Vica,1136,2.85,Hajdúböszörmény,LMP
Széles Elek,67,0.17,Hajdúböszörmény,SZDP
Zsatku Zita,6,0.02,Hajdúböszörmény,MRPP
Oroszi Istvánné,143,0.36,Hajdúböszörmény,ZÖLDEK
Töviskesné Dsupin Judit Ibolya,353,0.89,Hajdúböszörmény,A HAZA NEM ELADÓ
Komoróczy Tibor Attila,125,0.31,Hajdúböszörmény,FKGP
Kathiné Juhász Ildikó,7174,18.01,Hajdúböszörmény,MSZP-EGYÜTT-DK-PM-MLP
Kállai István Elek,102,0.26,Hajdúböszörmény,JESZ
Fábián Kornél,18,0.05,Hajdúböszörmény,ÚDP
Tóth Miklósné,22,0.06,Hajdúböszörmény,TEMPO
Kulcsár Gergely,10828,27.18,Hajdúböszörmény,JOBBIK
Dr. Tiba István Csaba,18982,47.65,Hajdúböszörmény,FIDESZ-KDNP
Papp István,76,0.19,Hajdúböszörmény,EGYÜTT 2014
Kovács Máté,127,0.32,Hajdúböszörmény,ÖP
Nagy Károly Tiborné,88,0.22,Hajdúböszörmény,SZOCIÁLDEMOKRATÁK
Andorkó László,35,0.09,Hajdúböszörmény,ÚMP
Papp Csilla,51,0.13,Hajdúböszörmény,MACSEP
Balogh Gusztáv,254,0.64,Hajdúböszörmény,MCP
Homolya Emese Krisztina,80,0.20,Hajdúböszörmény,SEM
Varga Mariann,169,0.42,Hajdúböszörmény,SMS
Dr. Majoros Imre,1028,2.72,Berettyóújfalu,LMP
Kovács Réka Zsuzsanna,228,0.60,Berettyóújfalu,SMS
Németi Attila Sándor,108,0.29,Berettyóújfalu,JESZ
Varju László,6985,18.51,Berettyóújfalu,MSZP-EGYÜTT-DK-PM-MLP
Dr. Vitányi István József,17799,47.18,Berettyóújfalu,FIDESZ-KDNP
Dr. Ulics Erika,10873,28.82,Berettyóújfalu,JOBBIK
Szilágyi Károly,81,0.21,Berettyóújfalu,MCP
Dr. Riczkó István,453,1.20,Berettyóújfalu,Független
Nagy Sándor,145,0.38,Berettyóújfalu,SZOCIÁLDEMOKRATÁK
Horváth Gyula,27,0.07,Berettyóújfalu,EU. ROM
Makula Krisztián,44,0.11,Hajdúszoboszló,Független
Nagy Ildikó,20,0.05,Hajdúszoboszló,ÚDP
Máté Lajos,749,1.89,Hajdúszoboszló,JESZ
Bodó Sándor,17657,44.46,Hajdúszoboszló,FIDESZ-KDNP
Rigán István,11070,27.88,Hajdúszoboszló,JOBBIK
Szepesi Gábor Attila,44,0.11,Hajdúszoboszló,ÖP
Balogh Kálmán,9,0.02,Hajdúszoboszló,MACSEP
Kreith Anita Márta,1126,2.84,Hajdúszoboszló,LMP
Kapornaki Szilveszter Márió,84,0.21,Hajdúszoboszló,KTI
Horváth Csaba,64,0.16,Hajdúszoboszló,Független
Magyarné Marincsák Ibolya,80,0.20,Hajdúszoboszló,Független
Kiss Klára,381,0.96,Hajdúszoboszló,SMS
Horváth Lajosné,5,0.01,Hajdúszoboszló,MRPP
Kolompár Ferenc,79,0.20,Hajdúszoboszló,MCP
Bangóné Borbély Ildikó,7317,18.42,Hajdúszoboszló,MSZP-EGYÜTT-DK-PM-MLP
Kovács Imre,122,0.31,Hajdúszoboszló,Független
Vigh Albert,37,0.09,Hajdúszoboszló,NEMZETI ÉRDEKÉRT
Kovácsné Csatári Éva,22,0.06,Hajdúszoboszló,EU. ROM
